"Número de serie","Planta","Número de artículo","Estado","Estado Molde","Captura","Vueltas MTO","peso masa","Peso resina cargada","Altura de pestaña molde","Creado","Modificado","Comentarios","Usuario activo","Vueltas","Vueltas desmanchado","Vueltas reparacion","Vueltas totales","Acabado","Tipo de molde","Aplicación modificada por","Creado por","Modificado por","modificadoDesde","Masa ADM"
"0177-07","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","Verdadero","28","6.2",,"30.00","6/7/2024 8:01 AM","3/17/2026 10:58 AM",,,"10","0","0","838","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"1162-09","MS","MOLDE MESON ECO 120X55 BRILLANTE","Disponible","Activo","Verdadero","28",,,"10.00","7/21/2025 10:14 AM","3/17/2026 10:58 AM",,,"12","0","0","39","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0106-40","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","Verdadero","36","12.3",,"45.00","4/4/2024 2:50 PM","3/17/2026 10:57 AM",,,"14","0","0","685","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"00902","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","Verdadero","36",,,"45.00","7/2/2025 7:18 AM","3/17/2026 10:57 AM",,,"7","0","0","367","Mate",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0124-27","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","Verdadero","36","7.5",,"40.00","1/12/2023 11:19 AM","3/17/2026 10:56 AM",,,"10","0","0","1,708","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-16","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","Verdadero","28",,,"45.00","11/26/2025 8:08 AM","3/17/2026 10:56 AM",,,"9","0","0","172","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0177-09","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","Verdadero","28","6.2",,"30.00","7/2/2024 1:53 PM","3/17/2026 10:56 AM",,,"9","0","0","847","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-32","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","5/11/2023 2:38 PM","3/17/2026 10:55 AM",,,"9","0","0","1,540","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"226-05","MS","MOLDE LAVARROPAS VERSA 55X50","Disponible","Activo","False","28",,,"35.00","4/9/2025 3:58 PM","3/17/2026 10:55 AM",,,"17","0","0","47","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0194-24","MS","MOLDE LAVAMANOS SIENA 63x48","Disponible","Activo","False","28",,,"73.00","12/18/2025 7:39 AM","3/17/2026 10:55 AM",,,"11","0","0","61","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0081-09","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","Activo","False","28","8.5",,"32.00","9/21/2022 12:03 PM","3/17/2026 10:55 AM",,,"13","0","0","1,249","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"202-09","MS","MOLDE LAVAMANOS ECO 40X30","Disponible","Activo","False","28","2.7",,"25.00","4/26/2021 2:26 PM","3/17/2026 10:55 AM",,,"2","0","0","965","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0081-11","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","Activo","False","28","8.5",,"30.00","5/22/2024 11:30 AM","3/17/2026 10:55 AM",,,"12","0","0","474","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-17","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","False","28",,,"34.50","12/9/2025 7:10 AM","3/17/2026 10:55 AM",,,"8","0","0","143","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"01148","MS","MOLDE LAVARROPAS 48X51W BRILLANTE","Disponible","Activo","False","36","12.3",,"45.00","4/26/2021 2:26 PM","3/17/2026 10:55 AM",,,"9","0","0","496","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"1269-08","MS","MOLDE LAVARROPAS AQUA 80X60 BRILLANTE","Disponible","Activo","False","28","19",,"40.00","4/26/2021 2:25 PM","3/17/2026 10:55 AM",,,"14","0","0","957","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"1160-11","MS","MOLDE MESON ECO 150X55 BRILLANTE SIN PERF","Disponible","En reparación","Verdadero","28","24.1",,"20.00","9/21/2022 12:06 PM","3/17/2026 10:55 AM","Desmanchado",,"20","0","0","102","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0106-34","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","False","36","12.3",,"45.00","10/24/2023 3:34 PM","3/17/2026 10:55 AM",,,"7","0","0","641","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"1243-01","MS","MOLDE LAVAMANOS BARI 63X48","Disponible","Activo","False","28","10.7",,"56.00","6/13/2022 11:17 AM","3/17/2026 10:55 AM",,,"8","0","0","479","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-44","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","2/14/2024 3:01 PM","3/17/2026 10:55 AM",,,"2","0","0","1,220","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-04","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","False","28","6.2",,"30.00","4/12/2024 12:26 PM","3/17/2026 10:55 AM",,,"5","0","0","898","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-45","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","3/6/2024 9:38 AM","3/17/2026 10:55 AM",,,"9","0","0","1,252","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0106-26","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","False","36","12.3",,"45.00","1/24/2023 3:30 PM","3/17/2026 10:55 AM",,,"23","0","0","1,136","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"215-04","MS","MOLDE LAVAMANOS OSLO 155X48","Disponible","Activo","False","28",,,"60.00","11/24/2025 8:22 AM","3/17/2026 10:55 AM",,,"14","0","0","19","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0124-42","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","1/4/2024 3:07 PM","3/17/2026 10:55 AM",,,"11","0","0","1,268","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-46","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"50.00","3/6/2024 9:39 AM","3/17/2026 10:55 AM",,,"26","0","0","1,293","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-03","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","False","28","6.2",,"30.00","4/12/2024 12:25 PM","3/17/2026 10:55 AM",,,"3","0","0","889","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"226-02","MS","MOLDE LAVARROPAS VERSA 55X50","Disponible","Activo","False","28",,,"19.00","2/20/2025 9:57 AM","3/17/2026 10:55 AM",,,"13","0","0","43","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"202-03","MS","MOLDE LAVAMANOS ECO 40X30","Disponible","Activo","False","28","2.7",,"40.00","4/26/2021 2:26 PM","3/17/2026 10:55 AM",,,"7","0","0","1,140","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"226-04","MS","MOLDE LAVARROPAS VERSA 55X50","Disponible","Activo","False","28",,,"50.00","3/25/2025 1:01 PM","3/17/2026 10:55 AM",,,"1","0","0","61","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0106-18","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","False","36","12.3",,"45.00","2/9/2022 12:33 PM","3/17/2026 10:55 AM",,,"13","0","0","1,695","Mate",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0124-19","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","5/24/2022 9:33 AM","3/17/2026 10:54 AM",,,"22","0","0","2,319","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0081-13","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","En reparación","Verdadero","28","8.5",,"30.00","7/9/2024 3:34 PM","3/17/2026 10:54 AM","Desmanchado",,"24","0","0","400","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
