"Título","CODIGO MOLDE","DEFECTOS A REPARAR","FECHA ENTRADA","FECHA ESPERADA","FECHA ENTREGA","ESTADO","OBSERVACIONES","Usuario","Recibido","Prioridad","H altura de pestaña","Created","Responsable","Tipo de reparacion","Tipo","ID","espesor_pestana","espesor_bowl","espesor_fondo","espesor_parte_plana","espesor_angulos","espesor_radios","Modified","Created By","Modified By"
"MOLDE LAVAMANOS SIENA 79x48","0184-08","Molde pelado, Molde Despicado, Molde Rayado, ","2/19/2026","2/20/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,533","73.00","2/19/2026 3:18 PM","Lina Osorio","Rapida","Molde","40709","0","0","0","0","0","0","2/23/2026 1:51 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 90X60 BRILLANTE","0088-09","Desmanchado, Molde con Parches de Gelcoat, ","2/19/2026","2/19/2026","2/19/2026","Entregado",,"Lina Osorio",,"19,534","500.00","2/19/2026 3:28 PM","Lina Osorio","Rapida","Molde","40710","0","0","0","0","0","0","2/19/2026 3:29 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-43","Desmanchado, ","2/19/2026","2/20/2026","2/24/2026","Entregado","Reportado desde app nueva",,,"1","8.00","2/19/2026 3:36 PM","Lina Osorio","Rapida",,"40711","0","0","0","0","0","0","2/24/2026 9:08 AM","Administrador Global","Mantenimiento"
"MOLDE MESON COCINA 180X60 SIN PERF-CUB V.2","213-08","Desmanchado, ","2/19/2026","2/20/2026","2/20/2026","Entregado","Reportado desde app nueva",,,"1","38.00","2/19/2026 3:36 PM","Lina Osorio","Rapida",,"40712","0","0","0","0","0","0","2/20/2026 7:16 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS SIENA 63x48","0194-12","Molde Rayado, ","2/19/2026","2/21/2026","2/21/2026","Entregado","Molde en las pestañas con fiel de naranja por fogueo","Lina Osorio",,"19,534","73.00","2/20/2026 6:41 AM","Lina Osorio","Rapida","Molde","40713","0","0","0","0","0","0","2/21/2026 6:52 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 90X60 BRILLANTE","0088-09","Molde Despicado, ","2/20/2026","2/21/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,535","50.00","2/20/2026 6:42 AM","Lina Osorio","Rapida","Molde","40714","0","0","0","0","0","0","2/20/2026 6:47 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-24","Conta molde con Acumulación de cera, Contramolde fisurado, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,536","45.00","2/20/2026 6:44 AM","Lina Osorio","Rapida","Molde","40715","0","0","0","0","0","0","2/21/2026 11:13 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 90X60 BRILLANTE","0088-10","Desmanchado, ","2/20/2026","2/21/2026","2/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/20/2026 7:52 AM","Lina Osorio","Rapida",,"40716","0","0","0","0","0","0","2/20/2026 8:23 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 63X48","0192-24","Desmanchado, ","2/20/2026","2/21/2026","2/13/2026","Entregado","Reportado desde app nueva",,,"1","60.00","2/20/2026 7:53 AM","Lina Osorio","Rapida",,"40717","60","0","0","0","0","30","2/20/2026 11:48 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-47","Molde con poros, Molde con Acumulación de cera, ","2/20/2026","2/20/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,537","30.00","2/20/2026 8:24 AM","Lina Osorio","Rapida","Molde","40718","0","0","0","0","0","0","2/20/2026 12:44 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS 50X50 BRILLANTE","0168-10","Desmanchado, ","2/20/2026","2/21/2026","2/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/20/2026 8:48 AM","Lina Osorio","Rapida",,"40720","0","0","0","0","0","0","2/20/2026 10:18 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-75","Molde Nuevo, ","2/20/2026","3/19/2026",,"En espera - Moldes","Se está modificando el espesor de pieza en modelo","Brian Stiven Sánchez Hernández",,"19,537","20.00","2/20/2026 9:39 AM","Bernardo Alfredo Restrepo Calle ","Especial","Molde","40721","0","0","0","0","0","0","3/10/2026 1:34 PM","Brian Stiven Sánchez Hernández","Sara María Aguilar Sierra"
"MOLDE LAVARROPAS ECO 48X60","0104-24","Molde Nuevo, ","2/20/2026","3/2/2026","3/4/2026","Entregado",,"Brian Stiven Sánchez Hernández",,"19,538","35.00","2/20/2026 9:41 AM","Bernardo Alfredo Restrepo Calle ","Especial","Molde","40722","10","8","8","9","0","7.5","3/4/2026 2:42 PM","Brian Stiven Sánchez Hernández","Mantenimiento"
"MOLDE MESON COCINA 180X60 SIN PERF-CUB V.2","213-07","Desmanchado, ","2/20/2026","2/21/2026","2/20/2026","Entregado","Reportado desde app nueva",,,"1","0.00","2/20/2026 9:48 AM","Lina Osorio","Rapida",,"40723","0","8","0","0","0","0","2/20/2026 10:43 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-35","Molde Rayado, Molde Tallado, ","2/20/2026","2/21/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,539","50.00","2/20/2026 9:50 AM","Lina Osorio","Rapida","Molde","40724","0","0","0","0","0","0","2/20/2026 6:46 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 80X60","0107-24","Conta molde con Acumulación de cera, Contramolde reventado, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,540","40.00","2/20/2026 9:53 AM","Lina Osorio","Rapida","Molde","40725","0","0","0","0","0","0","2/21/2026 9:13 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 63x48","0194-23","Molde Despicado, Molde Rayado, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,541","45.00","2/20/2026 9:54 AM","Lina Osorio","Rapida","Molde","40726","0","0","0","0","0","0","2/21/2026 6:50 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-53","Contramolde reventado, Instalación de calzas de contramolde, ","2/20/2026","2/24/2026","2/23/2026","Entregado",,"Sonia Helena  Puerta puerta",,"19,540","30.00","2/20/2026 9:54 AM","Bernardo Alfredo Restrepo Calle ","Especial","Molde","40727","0","0","0","0","0","0","2/23/2026 10:03 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-51","Reparación / cambio de pines, Modificación al molde, ","2/20/2026","2/25/2026","2/23/2026","Entregado","Pestaña externa en mal estado ","Sonia Helena  Puerta puerta",,"19,542","20.00","2/20/2026 9:57 AM","Bernardo Alfredo Restrepo Calle ","Especial","Molde","40728","0","0","0","0","0","0","2/23/2026 6:48 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS 50X50 BRILLANTE","0168-08","Desmanchado, ","2/20/2026","2/21/2026","2/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/20/2026 10:45 AM","Lina Osorio","Rapida",,"40729","0","0","0","0","0","0","2/20/2026 11:47 AM","Administrador Global","Mantenimiento"
"MOLDE MESON COCINA 150X60 V.2 - PERF-CUB","231-01","Molde Despicado, Molde Fisurado, ","2/20/2026","2/21/2026","2/21/2026","Entregado","Reportado desde app nueva",,,"1","0.00","2/20/2026 10:45 AM","Lina Osorio","Rapida",,"40734","0","0","0","0","0","0","2/21/2026 8:28 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","0081-13","Desmanchado, ","2/20/2026","2/21/2026","2/21/2026","Entregado","Reportado desde app nueva",,,"1","0.00","2/20/2026 10:46 AM","Lina Osorio","Rapida",,"40736","0","0","0","0","0","0","2/21/2026 7:47 AM","Administrador Global","Mantenimiento"
"MOLDE LAVATRAPEROS PRO 46X36","0178-05","Desmanchado, ","2/20/2026","2/21/2026","2/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/20/2026 10:46 AM","Lina Osorio","Rapida",,"40737","0","0","0","0","0","0","2/20/2026 2:17 PM","Administrador Global","Mantenimiento"
"MOLDE BARRA COCINA 120X55 BRILLANTE - SIN PERF","1206-01","Molde Despicado, Molde Rayado, Molde deformado, ","2/20/2026","2/21/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,543","25.00","2/20/2026 12:21 PM","Lina Osorio","Rapida","Molde","40738","0","0","0","0","0","0","2/23/2026 10:00 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 48X43","205-06","Molde Despicado, Molde Fisurado, Contramolde fisurado, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,543","40.00","2/20/2026 12:26 PM","Lina Osorio","Rapida","Molde","40739","0","0","0","0","0","0","2/21/2026 12:25 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-34","Molde Fisurado, Contramolde fisurado, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,544","45.00","2/20/2026 12:27 PM","Lina Osorio","Rapida","Molde","40740","0","0","0","0","0","0","2/21/2026 12:05 PM","Mantenimiento","Mantenimiento"
"MOLDE MESON ECO 150X55 BRILLANTE SIN PERF","1160-12","Desmanchado, , , ","2/20/2026","2/21/2026","2/23/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/20/2026 12:29 PM","Lina Osorio","Rapida",,"40741","0","0","0","0","0","0","3/10/2026 7:49 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-36","Molde Fisurado, Contramolde fisurado, Exceso de masa en el Contramolde, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,545","40.00","2/20/2026 12:53 PM","Lina Osorio","Rapida","Molde","40742","0","0","0","0","0","0","2/21/2026 11:14 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-52","Molde mate con brillo, Contramolde fisurado, Conta molde con Acumulación de cera, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,546","35.00","2/20/2026 12:55 PM","Lina Osorio","Rapida","Molde","40743","0","0","0","0","0","0","2/21/2026 1:12 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 48X43","205-05","Molde con poros, Contramolde fisurado, Conta molde con Acumulación de cera, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,547","40.00","2/20/2026 12:56 PM","Lina Osorio","Rapida","Molde","40744","0","0","0","0","0","0","2/21/2026 12:26 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS GENOVA 63X48","0193-05","Molde Despicado, Molde Rayado, , ","2/20/2026","2/23/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,548","5.90","2/20/2026 12:57 PM","Lina Osorio","Rapida","Molde","40745","0","0","0","0","0","0","2/23/2026 8:00 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS BARI 63X48","1259-03","Molde con poros, Molde Rayado, ","2/20/2026","2/23/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,549","56.00","2/20/2026 12:59 PM","Lina Osorio","Rapida","Molde","40746","0","0","0","0","0","0","2/23/2026 11:17 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVATRAPEROS PRO 46X36","0178-06","Desmanchado, ","2/20/2026","2/21/2026","2/21/2026","Entregado","Reportado desde app nueva",,,"1","0.00","2/20/2026 2:02 PM","Lina Osorio","Rapida",,"40747","0","0","0","0","0","0","2/21/2026 10:05 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-50","Molde mate con brillo, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,550","50.00","2/20/2026 3:22 PM","Lina Osorio","Rapida","Molde","40748","0","0","0","0","0","0","2/21/2026 1:16 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-43"," Molde Despicado, Molde Rayado, ","2/20/2026","2/21/2026","2/23/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/20/2026 3:24 PM","Lina Osorio","Rapida",,"40749","0","0","0","0","0","0","2/23/2026 1:08 PM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-30","Molde mate con brillo, ","2/20/2026","2/21/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,551","60.00","2/20/2026 7:41 PM","Lina Osorio","Rapida","Molde","40750","0","0","0","0","0","0","2/21/2026 1:13 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X38","0177-10","Molde Despicado, Molde Rayado, Molde Tallado, ","2/20/2026","2/21/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,552","30.00","2/20/2026 7:43 PM","Lina Osorio","Rapida","Molde","40751","0","0","0","0","0","0","2/23/2026 7:59 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVATRAPEROS PRO 46X36","0178-05","Molde Despicado, Molde Rayado, ","2/20/2026","2/21/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,553","55.10","2/20/2026 7:44 PM","Lina Osorio","Rapida","Molde","40752","0","0","0","0","0","0","2/23/2026 9:05 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 63X48","0192-16","Desmanchado, ","2/21/2026","2/22/2026","2/23/2026","Entregado","Reportado desde app nueva",,,"1","30.00","2/21/2026 6:24 AM","Lina Osorio","Rapida",,"40753","0","0","0","0","0","0","2/23/2026 1:04 PM","Administrador Global","Mantenimiento"
